actiune,timestamp
SearchMeniuId, 1620398628072,
SearchMeniuId, 1620398628074,
SearchMeniuId, 1620398628074,
SearchMeniuId, 1620398628074,
SearchMeniuId, 1620398634766,
PrintProducts, 1620398634767,
SearchMeniuId, 1620417648245,
SearchMeniuId, 1620417648246,
SearchMeniuId, 1620417648247,
SearchMeniuId, 1620417648247,
createMeniu, 1620417665478,
SearchMeniuId, 1620417687555,
createProduct, 1620417690955,
SearchMeniuId, 1620418344471,
SearchMeniuId, 1620418344473,
SearchMeniuId, 1620418344473,
SearchMeniuId, 1620418344474,
SearchMeniuId, 1620418354946,
PrintProducts, 1620418354947,
SearchMeniuId, 1620418372626,
createProduct, 1620418376421,
SearchMeniuId, 1620418386056,
createProduct, 1620418387867,
SearchMeniuId, 1620418700134,
SearchMeniuId, 1620418700136,
SearchMeniuId, 1620418700136,
SearchMeniuId, 1620418700136,
SearchMeniuId, 1620418700137,
SearchMeniuId, 1620418700137,
createMeniu, 1620418714953,
SearchMeniuId, 1620418801778,
SearchMeniuId, 1620418801780,
SearchMeniuId, 1620418801780,
SearchMeniuId, 1620418801781,
SearchMeniuId, 1620418801781,
SearchMeniuId, 1620418801781,
SearchMeniuId, 1620418810546,
PrintProducts, 1620418810546,
createMeniu, 1620418819593,
createMeniu, 1620418833702,
SearchMeniuId, 1620418856181,
createProduct, 1620418860045,
SearchMeniuId, 1620418865959,
SearchMeniuId, 1620418865960,
SearchMeniuId, 1620418865961,
SearchMeniuId, 1620418865961,
SearchMeniuId, 1620418865961,
SearchMeniuId, 1620418865962,
SearchMeniuId, 1620418865962,
SearchMeniuId, 1620418999570,
SearchMeniuId, 1620418999572,
SearchMeniuId, 1620418999572,
SearchMeniuId, 1620418999573,
SearchMeniuId, 1620418999573,
SearchMeniuId, 1620418999573,
SearchMeniuId, 1620418999574,
SearchMenuId, 1622133705738,
SearchMenuId, 1622133705743,
SearchMenuId, 1622133705744,
SearchMenuId, 1622133705745,
SearchMenuId, 1622133705746,
SearchMenuId, 1622133705747,
SearchMenuId, 1622133705747,
SearchMenuId, 1622133750550,
createProduct, 1622133755033,
createMenu, 1622133766252,
MenusCost, 1622133782536,
SearchMenuId, 1622133800107,
PrintProducts, 1622133800108,
SearchMenuId, 1622133812507,
PrintProducts, 1622133812509,
SearchMenuId, 1622144811710,
SearchMenuId, 1622144811711,
SearchMenuId, 1622144811711,
SearchMenuId, 1622144811712,
SearchMenuId, 1622144811712,
SearchMenuId, 1622144811713,
SearchMenuId, 1622144811713,
SearchMenuId, 1622144823784,
PrintProducts, 1622144823784,
MenusCost, 1622144864811,
createMenu, 1622144901300,
createMenu, 1622144913564,
MenusCost, 1622144929459,
SearchMenuId, 1622144959507,
createProduct, 1622144966083,
SearchMenuId, 1622145077676,
SearchMenuId, 1622145077677,
SearchMenuId, 1622145077677,
SearchMenuId, 1622145077678,
SearchMenuId, 1622145077678,
SearchMenuId, 1622145077678,
SearchMenuId, 1622145077679,
SearchMenuId, 1622152469289,
SearchMenuId, 1622152469289,
SearchMenuId, 1622152469289,
SearchMenuId, 1622152469289,
SearchMenuId, 1622152469289,
SearchMenuId, 1622152469289,
SearchMenuId, 1622152480802,
PrintProducts, 1622152480802,
SearchMenuId, 1622152489922,
PrintProducts, 1622152489922,
SearchMenuId, 1622152494207,
PrintProducts, 1622152494207,
SearchMenuId, 1622152498812,
PrintProducts, 1622152498812,
MenusCost, 1622152561308,
SearchMenuId, 1622152621501,
SearchMenuId, 1622152621503,
SearchMenuId, 1622152621503,
SearchMenuId, 1622152621503,
SearchMenuId, 1622152621503,
SearchMenuId, 1622152621503,
SearchMenuId, 1622152633445,
SearchMenuId, 1622152633445,
SearchMenuId, 1622152633445,
SearchMenuId, 1622152633445,
SearchMenuId, 1622152633445,
SearchMenuId, 1622152633445,
SearchMenuId, 1622152648746,
